ra_deg,dec_deg,mag,nama,bayer,konstelasi,hip
56.80942,-74.23896,3.26,,Gam,Hyi,17678
9.83193,30.86102,3.27,,Del,And,3092
260.50241,-24.99955,3.27,,The,Oph,84970
343.66255,-15.82082,3.27,Skat,Del,Aqr,113136
78.23292,-16.20547,3.29,,Mu,Lep,24305
153.43442,-70.03790,3.29,,Ome,Car,50099
231.23241,58.96607,3.29,Edasich,Iot,Dra,75458
68.49897,-55.04498,3.30,,Alp,Dor,21281
158.00615,-61.68533,3.30,,,Car,51576
93.71941,22.50680,3.31,Propus,Eta,Gem,29655
261.34858,-56.37773,3.31,,Gam,Ara,85267
16.52110,-46.71841,3.32,,Bet,Phe,5165
46.29405,38.84027,3.32,,Rho,Per,14354
183.85629,57.03262,3.32,Megrez,Del,UMa,59774
258.03828,-43.23919,3.32,,Eta,Sco,84143
269.75663,-9.77363,3.32,,Nu,Oph,88048
286.73505,-27.67042,3.32,,Tau,Sgr,93864
63.60606,-62.47386,3.33,,Alp,Ret,19780
168.56002,15.42957,3.33,Chertan,The,Leo,54879
117.32356,-24.85979,3.34,Azmidi,Xi,Pup,38170
28.59876,63.67010,3.35,Segin,Eps,Cas,8886
81.11924,-2.39715,3.35,,Eta,Ori,25281
101.32236,12.89559,3.35,Alzirr,Xi,Gem,32362
127.56647,60.71817,3.35,Muscida,Omi,UMa,41704
291.37458,3.11477,3.36,,Del,Aql,95501
230.67032,-44.68962,3.37,,Eps,Lup,75264
131.69380,6.41881,3.38,Ashlesha,Eps,Hya,43109
203.67330,-0.59582,3.38,Heze,Zet,Vir,66249
83.78449,9.93416,3.39,Meissa,Lam,Ori,26207
154.27080,-61.33230,3.39,,,Car,50371
193.90087,3.39747,3.39,Minelauva,Del,Vir,63090
332.71362,58.20126,3.39,,Zet,Cep,109492
67.16558,15.87088,3.40,Chamukuy,The-2,Tau,20894
257.59175,-15.72692,3.40,,,Oph,
22.09138,-43.31823,3.41,,Gam,Phe,6867
60.17007,12.49035,3.41,,Lam,Tau,18724
207.37617,-41.68771,3.41,,Nu,Cen,67464
228.07140,-52.09925,3.41,,Zet,Lup,74395
311.32216,61.83878,3.41,,Eta,Cep,102422
340.36550,10.83136,3.41,Homam,Zet,Peg,112029
28.27044,29.57883,3.42,Mothallah,Alp,Tri,8796
240.03054,-38.39671,3.42,,Eta,Lup,78384
266.61478,27.72068,3.42,,Mu,Her,86974
311.23971,-66.20321,3.42,,Bet,Pav,102395
137.74206,-58.96690,3.43,,,Car,45080
154.17257,23.41731,3.43,Adhafera,Zet,Leo,50335
286.56225,-4.88255,3.43,,Lam,Aql,93805
154.27428,42.91436,3.45,Tania Borealis,Lam,UMa,50372
12.27390,57.81519,3.46,Achird,Eta,Cas,3821
17.14746,-10.18226,3.46,,Eta,Cet,5364
119.19469,-52.98236,3.46,,Chi,Car,38827
228.87564,33.31483,3.46,,Del,Boo,74666
